level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
3	1	17	1	0	0	177	503	267	16	-1	
4	1	17	1	1	0	177	503	267	16	-1	
5	1	17	1	1	1	177	504	22	15	93.585449	1,6
5	1	17	1	1	2	205	504	33	13	95.671249	Mio.
5	1	17	1	1	3	244	503	96	14	96.217819	Abonnenten
5	1	17	1	1	4	346	508	4	4	52.403568	+
5	1	17	1	1	5	357	504	29	13	96.734085	214
5	1	17	1	1	6	391	503	53	14	96.365608	Videos
2	1	18	0	0	0	51	576	184	32	-1	
3	1	18	1	0	0	51	576	184	32	-1	
4	1	18	1	1	0	51	576	184	32	-1	
5	1	18	1	1	1	51	576	30	32	88.801254	N
5	1	18	1	1	2	100	586	91	16	91.738106	Abonniert
5	1	18	1	1	3	212	589	23	12	49.149727	VY
2	1	19	0	0	0	315	587	135	16	-1	
3	1	19	1	0	0	315	587	135	16	-1	
4	1	19	1	1	0	315	587	135	16	-1	
5	1	19	1	1	1	315	587	50	16	93.306114	Kanal
5	1	19	1	1	2	373	587	77	16	92.583099	aufrufen
2	1	20	0	0	0	524	576	189	37	-1	
3	1	20	1	0	0	524	576	189	37	-1	
4	1	20	1	1	0	524	576	189	37	-1	
5	1	20	1	1	1	524	576	37	37	89.854988	©
5	1	20	1	1	2	576	587	80	16	96.660881	YouTube
5	1	20	1	1	3	664	588	49	15	94.726044	Music
2	1	21	0	0	0	304	672	88	1	-1	
3	1	21	1	0	0	304	672	88	1	-1	
4	1	21	1	1	0	304	672	88	1	-1	
5	1	21	1	1	1	304	672	88	1	49.979435	——
2	1	22	0	0	0	656	670	8	1	-1	
3	1	22	1	0	0	656	670	8	1	-1	
4	1	22	1	1	0	656	670	8	1	-1	
5	1	22	1	1	1	656	670	8	1	88.760582	=
2	1	23	0	0	0	669	671	6	2	-1	
3	1	23	1	0	0	669	671	6	2	-1	
4	1	23	1	1	0	669	671	6	2	-1	
5	1	23	1	1	1	669	671	6	2	65.185287	~
2	1	24	0	0	0	392	818	58	23	-1	
3	1	24	1	0	0	392	818	58	23	-1	
4	1	24	1	1	0	392	818	58	23	-1	
5	1	24	1	1	1	392	818	58	23	35.443527	Im.
2	1	25	0	0	0	433	989	13	14	-1	
3	1	25	1	0	0	433	989	13	14	-1	
4	1	25	1	1	0	433	989	13	14	-1	
5	1	25	1	1	1	433	989	13	14	45.080982	ol
2	1	26	0	0	0	500	1001	22	1	-1	
3	1	26	1	0	0	500	1001	22	1	-1	
4	1	26	1	1	0	500	1001	22	1	-1	
5	1	26	1	1	1	500	1001	22	1	65.677475	—
2	1	27	0	0	0	674	1001	22	1	-1	
3	1	27	1	0	0	674	1001	22	1	-1	
4	1	27	1	1	0	674	1001	22	1	-1	
5	1	27	1	1	1	674	1001	22	1	87.069191	—
2	1	28	0	0	0	612	1001	63	30	-1	
3	1	28	1	0	0	612	1001	63	30	-1	
4	1	28	1	1	0	612	1001	63	30	-1	
5	1	28	1	1	1	612	1001	24	30	15.806236	()
5	1	28	1	1	2	647	1015	28	14	96.979797	Mix
2	1	29	0	0	0	48	991	124	53	-1	
3	1	29	1	0	0	48	991	124	53	-1	
4	1	29	1	1	0	48	991	124	53	-1	
5	1	29	1	1	1	48	991	124	53	41.310593	e-
2	1	30	0	0	0	201	1008	316	40	-1	
3	1	30	1	0	0	201	1008	316	40	-1	
4	1	30	1	1	0	201	1008	316	40	-1	
5	1	30	1	1	1	201	1008	316	40	87.766190	AGGROTV
2	1	31	0	0	0	24	1084	111	18	-1	
3	1	31	1	0	0	24	1084	111	18	-1	
4	1	31	1	1	0	24	1084	111	18	-1	
5	1	31	1	1	1	24	1085	36	17	92.877357	Mix
5	1	31	1	1	2	68	1092	12	3	90.119850	-
5	1	31	1	1	3	89	1084	46	18	96.829773	Sido
2	1	32	0	0	0	305	1233	174	20	-1	
3	1	32	1	0	0	305	1233	174	20	-1	
4	1	32	1	1	0	305	1233	174	20	-1	
5	1	32	1	1	1	305	1233	40	20	96.671547	[UID]
5	1	32	1	1	2	353	1235	54	15	96.950859	10069
5	1	32	1	1	3	414	1234	65	16	96.480659	wurden
2	1	33	0	0	0	272	1264	240	21	-1	
3	1	33	1	0	0	272	1264	240	21	-1	
4	1	33	1	1	0	272	1264	240	21	-1	
5	1	33	1	1	1	272	1264	160	20	92.837799	Superuser-Rechte
5	1	33	1	1	2	439	1264	73	21	96.886429	gewährt
2	1	34	0	0	0	53	1437	38	36	-1	
3	1	34	1	0	0	53	1437	38	36	-1	
4	1	34	1	1	0	53	1437	38	36	-1	
5	1	34	1	1	1	53	1437	38	36	78.838753	ft
2	1	35	0	0	0	165	1316	505	162	-1	
3	1	35	1	0	0	165	1316	505	162	-1	
4	1	35	1	1	0	165	1316	505	162	-1	
5	1	35	1	1	1	165	1316	505	162	26.573978	ISA,
2	1	36	0	0	0	33	1486	79	14	-1	
3	1	36	1	0	0	33	1486	79	14	-1	
4	1	36	1	1	0	33	1486	79	14	-1	
5	1	36	1	1	1	33	1486	79	14	96.806404	Startseite
2	1	37	0	0	0	190	1486	53	14	-1	
3	1	37	1	0	0	190	1486	53	14	-1	
4	1	37	1	1	0	190	1486	53	14	-1	
5	1	37	1	1	1	190	1486	53	14	95.515808	Shorts
2	1	38	0	0	0	339	1486	42	14	-1	
3	1	38	1	0	0	339	1486	42	14	-1	
4	1	38	1	1	0	339	1486	42	14	-1	
5	1	38	1	1	1	339	1486	42	14	95.674301	Abos
2	1	39	0	0	0	591	1486	116	14	-1	
3	1	39	1	0	0	591	1486	116	14	-1	
4	1	39	1	1	0	591	1486	116	14	-1	
5	1	39	1	1	1	591	1487	38	13	96.909805	Mein
5	1	39	1	1	2	635	1486	72	14	96.726799	YouTube
2	1	40	0	0	0	437	1486	134	18	-1	
3	1	40	1	0	0	437	1486	134	18	-1	
4	1	40	1	1	0	437	1486	134	18	-1	
5	1	40	1	1	1	437	1486	134	18	87.737785	Benachrichtigu...
2	1	41	0	0	0	626	1541	10	10	-1	
3	1	41	1	0	0	626	1541	10	10	-1	
4	1	41	1	1	0	626	1541	10	10	-1	
5	1	41	1	1	1	626	1541	10	10	45.822834	0
2	1	42	0	0	0	189	1544	26	25	-1	
3	1	42	1	0	0	189	1544	26	25	-1	
4	1	42	1	1	0	189	1544	26	25	-1	
5	1	42	1	1	1	189	1544	26	25	79.853416	|
2	1	43	0	0	0	340	1539	35	35	-1	
3	1	43	1	0	0	340	1539	35	35	-1	
4	1	43	1	1	0	340	1539	35	35	-1	
5	1	43	1	1	1	340	1539	35	35	93.592552	©
2	1	44	0	0	0	501	1542	23	29	-1	
3	1	44	1	0	0	501	1542	23	29	-1	
4	1	44	1	1	0	501	1542	23	29	-1	
5	1	44	1	1	1	501	1542	23	29	45.534760	4
2	1	45	0	0	0	617	1553	29	18	-1	
3	1	45	1	0	0	617	1553	29	18	-1	
4	1	45	1	1	0	617	1553	29	18	-1	
5	1	45	1	1	1	617	1553	29	18	57.611866	Vv
